P00027739T0000|0 28|Serum gamma glutamyltransferase
P09165039A0728|66 82|mammalian LHR cDNAs
P09168623A0614|110 111|C1
P09168892A1016|34 57|AP-1 cis-response elements
P09169127A0371|297 302|y1 gene
P09169127A0371|155 160|y1 gene
P09169420A0000|145 147|p55
P09169420A0000|100 102|SH2
P09169593T0000|61 90|mitogen-activated protein kinase
P09169593T0000|56 58|MEK
P09169593T0000|94 105|casein kinase
P09170159A0348|77 115|tyrosinase and tyrosinase-related protein 1
P09171081T0000|42 72|bacteriophage-type RNA polymerase
P09171235A0851|127 132|TRbeta
P09171239A1118|163 166|AF-2
P09171239A1118|71 93|nuclear hormone receptors
P09171389A0549|148 170|PyrR attenuation proteins
P09173733A0404|89 90|EA
P09175708A1526|5 7|PRL
P09175708A1526|9 9|R
P09175858A1449|241 254|cytosolic GAPDH
P09178752A0574|99 100|ER
P09180687A0096|24 27|SulA
P09180687A0096|126 129|SulA
P09181130A1067|113 114|r5
P09181130A1067|108 109|r3
P09182527A0443|87 92|Nedd-4
P09182527A0443|23 25|p53
P09182707A0254|73 75|FAK
P09182990A0245|146 149|eRF1
P09186056A0514|79 81|CAT
P09187136A0000|36 49|protein kinase C
P09188094A0934|51 54|Spc1
P09188699A1388|77 80|SP-A
P09188863A0954|21 26|CDC25B
P09189783A0000|157 163|insulin
P09190202A0166|146 149|p150
P09191052A0850|49 65|Class I Hox proteins
P09192769T0000|120 124|CCR-4
P09192786T0000|17 27|human LU gene
P09192842A0988|192 200|ETS factor
P09192998A0356|135 136|T1
P09192998A0356|81 82|T2
P09193077A0000|92 107|chalcone synthase
P09195923A0125|218 222|hsp90
P09195923A0125|72 76|hsp90
P09197241A0770|31 34|CD45
P09197408A0126|248 282|DNA-binding transcriptional activator
P09199286A0086|17 20|mkh1
P09199292A0536|44 47|p130
P09199318A1147|26 30|actin
P09199318A1147|12 15|p150
P09199327A1250|144 146|Max
P09199327A1250|138 142|TEF-1
P09199327A1250|29 35|EM motif
P09199328T0000|58 62|Oct-1
P09199328T0000|42 45|VP16
P09199328T0000|64 66|HCF
P09199348A0156|123 129|Y domain
P09199353A1924|99 113|polymerase alpha
P09202669A0614|150 153|neoR
P09202859A0091|48 50|HCG
P09202859A0091|84 87|PLAP
P09203585A0660|21 40|recombinant H19 allele
P09203586A1197|62 64|SL1
P09204570A0110|34 38|nmhC5
P09205113A0587|67 74|HPRT gene
P09209031A0350|49 71|serine carboxypeptidases
P09209406A1021|110 118|c-cbl gene
P09211913A0000|65 84|transcription factors
P09211913A0000|192 205|erythropoietin
P09211934A0722|0 5|DNase I
P09212059A1856|112 113|PR
P09212063A0425|103 105|VDR
P09215525A0581|50 52|E2F
P09218436A0443|18 24|TATA box
P09218459A0000|51 69|DNA-binding proteins
P09218459A0000|143 170|growth factor-responsive genes
P09218520A0075|102 106|IL-1R
P09218599A0184|84 87|IL-4
P09218775A1229|20 29|cysB mutant
P09220158A0537|113 117|ORF-2
P09222115A0545|31 69|endogenous corticotropin-releasing factor
P09223475A0898|198 208|IE86 protein
P09223479A1193|155 163|BHRF1 gene
P09224811A0000|246 254|P450R mRNA
P09225998A0000|0 8|NF-kappa B
P09227799A0254|156 158|SEA
P09230307A0329|20 25|GATA-1
P09233772A0136|437 462|E3 ubiquitin-protein ligases
P09233772A0136|190 193|RCC1
P09233772A0136|302 312|beta subunit
P09233801A1180|57 64|TGF-beta
P09233801A1180|84 96|type I receptor
P09233809A0381|45 48|lacZ
P09234696A0238|50 73|mitogen-activated protein
P09234703A0192|57 61|Cdc42
P09234703A0192|51 53|Rac
P09234713A0754|171 177|Jdelta1
P09234717A0000|173 200|SH2 domain-containing proteins
P09234720A1015|38 40|MEK
P09234720A1015|154 158|v-Src
P09234720A1015|148 150|MEK
P09234720A1015|52 56|v-Src
P09234723A0846|59 61|PTB
P09234725A1892|111 114|AP-1
P09234743A0475|141 153|alpha-complex
P09235618A0000|164 166|IgG
P09235618A0000|170 172|IgM
P09235998A0788|114 129|HMG-CoA reductase
P09235998A0788|30 49|alpha and beta subunits
P09236118A1455|21 23|Lrp
P09236224A0939|21 23|p21
P09236224A0939|85 87|NGF
P09238860A0175|125 128|CREB
P09238860A1974|49 52|CREB
P09238860A1974|179 192|protein kinase C
P09238860A1974|107 110|IL-2
P09239635A0477|26 28|IgG
P09239635A0477|85 87|IgA
P09241232A0653|3 6|Ogg1
P09241232A1154|86 89|Ogg1
P09242375A1313|211 215|MEN2B
P09242506A1033|0 2|E2F
P09242506A1033|62 71|DP proteins
P09243505A1194|204 213|MADS domain
P09243840A0663|61 68|HLA-DQA1
P09244282A1371|16 35|pecT regulatory region
P09244350A0000|0 4|BRCA1
P09248639A0152|165 172|collagen
P09252406A0511|49 52|Grb2
P09252406A0511|156 159|SHP2
P09254678A0106|270 276|PLP gene
P09255349A0836|53 56|IRA1
P09255349A0836|60 63|IRA2
P09256973A0455|44 45|G2
P09257887A0457|0 4|G-CSF
P09258439A1001|56 61|SsEF-2
P09259052A0568|190 193|cJun
P09259052A0568|137 144|AP-1 site
P09259052A0568|73 88|protein complexes
P09259313A0950|60 62|PRL
P09259320A0830|89 92|DSBP
P09259328A0440|176 185|luciferase
P09261155A0833|133 137|IRS-3
P09261155A0833|20 22|PTB
P09261184A0170|120 123|NF-Y
P09261397A0509|0 2|Gag
P09261397A0509|29 36|NC domain
P09263010T0000|81 85|c-myc
P09263010T0000|102 106|bcl-2
P09263856A0563|79 89|prothrombin
P09265932A0575|70 71|L2
P09267431A0000|51 64|protein kinases
P09268298T0000|0 18|Ent-kaurene synthase
P09268387A0293|100 114|RNA polymerase II
P09268638A0332|76 81|D8S285
P09268652A0116|16 32|zinc finger protein
P09269900A1035|127 130|JunD
P09269900A1035|36 38|Ras
P09269900A1035|91 95|c-Jun
P09271393A1333|38 40|Tax
P09271393A1333|56 69|HTLV-1 promoter
P09271393A1333|48 50|CBP
P09271393A1333|122 124|CBP
P09271394A0558|136 138|Mu1
P09271394A0558|0 5|DNase I
P09271394A0558|54 56|Mu1
P09271397A1596|81 91|LDL receptor
P09271397A1596|116 122|Sp1 site
P09271400A0475|86 89|E2F2
P09272138A1153|46 52|rhG-CSF
P09278441A1160|152 177|Drosophila melanogaster gene
P09278445T0000|25 29|RNase
P09278445T0000|40 60|yeast RNA polymerase III
P09278450A1338|90 99|NF1 protein
P09278494A0762|80 85|Surf-1
P09278494A0762|15 17|Sp1
P09279379A0310|120 133|H2B histone gene
P09282911A0277|62 64|RC3
P09285789A0712|121 144|spectrin-like repeat units
P09286115T0000|96 104|RPL21 gene
P09286981A0147|0 3|ArgR
P09287352A0930|45 49|SHP-1
P09287352A0930|148 152|SHP-1
P09287352A0930|225 229|SHP-1
P09287352A0930|98 127|mitogen-activated protein kinase
P09287352A0930|184 186|MEK
P09288848A0780|15 18|HbO2
P09291098A0452|133 142|rat GGT gene
P09292499A0887|88 90|PTB
P09293006A1412|69 81|aphII promoter
P09294161A0650|15 30|wild-type protein
P09294161A0650|83 87|NF-E2
P09294161A0650|47 51|NF-E2
P09294422A1376|173 175|POR
P09294471A1198|22 24|CD4
P09297698A0933|130 140|enolase gene
P09300697A0000|81 98|MHC class I molecules
P09303437A0875|60 62|CAT
P09303437A0875|217 223|CAT gene
P09303635A0000|64 92|beta-glucocerebrosidase enzyme
P09305631A0770|16 20|BAG-1
P09305755A0540|191 193|AP1
P09305755A0540|71 73|Sp1
P09305755A0540|195 197|AP2
P09305755A0540|90 92|NF1
P09305870A0894|30 32|p55
P09305944A0621|122 137|C-terminal domain
P09305944A0621|144 156|yeast proteins
P09307065A0553|43 45|TCR
P09308234A0225|4 6|Max
P09308234A0225|39 41|Myc
P09309457A0680|39 42|HDL2
P09309457A0680|44 46|LDL
P09309457A0680|62 73|endothelin-1
P09310836A1019|40 51|SV40 promoter
P09311796A0218|113 115|TBP
P09311796A0218|123 141|transcription factor
P09311808A0341|31 40|p4 molecule
P09311835A0147|54 62|T antigens
P09312025A0373|117 120|p110
P09312025T0000|111 119|NF-kappaB
P09312028A0975|130 143|RAR AF-2 domains
P09312032A0165|29 39|snoRNA genes
P09312087A0000|134 140|PECAM-1
P09312087A0000|300 306|PECAM-1
P09314537A1600|52 70|ezrin binding protein
P09315631A1064|166 187|delta por1 single mutants
P09315632A1137|150 154|FGFR3
P09315633A0333|91 94|IRFs
P09315651T0000|13 16|AP-2
P09315651T0000|34 43|R-FABP gene
P09315678A0278|114 120|Nopp140
P09317131A0000|84 90|CH genes
P09317131A1332|127 146|human IgE germline gene
P09317131A1332|98 101|IL-4
P09321930A0567|61 65|BRCA1
P09321930A0567|45 47|p53
P09321930A0567|53 55|APC
P09321930A0567|217 238|cellular binding protein
P09322738A0510|51 65|wild-type allele
P09322872A0745|29 34|TK gene
P09323366A0000|22 25|MLS1
P09323366A0299|23 26|MLS1
P09324988X0000|20 22|p21
P09325022A0192|41 44|CD-1
P09325135A0737|66 80|cellular protein
P09325273A1240|219 227|ubiquitin
P09325273A1240|66 74|ubiquitin
P09325273A1240|291 299|ubiquitin
P09325278A0458|161 164|mta1
P09325278A0458|240 243|mta1
P09326246A0567|111 120|luciferase
P09328341A1449|77 99|TR alpha DNA binding mutant
P09328343A0181|148 157|bHLH family
P09328349A1679|89 105|alpha-subunit gene
P09328349A1679|8 15|CCAAT box
P09328476A0374|9 20|77 kDa protein
P09328824A0000|204 224|retinoic acid receptors
P09328824A0000|115 116|TR
P09328824A0000|199 200|TR
P09331864A0230|21 22|E2
P09331864A0848|5 6|E2
P09333026A0851|200 220|epidermal growth factor
P09334330A0252|56 63|TGF-beta
P09334330A0252|178 190|mammalian DPC4
P09334331A0910|57 59|DER
P09335298A0529|24 35|parCBA operon
P09335298A1227|48 50|RK2
P09335298A2129|181 196|ParE toxin protein
P09335608T0000|75 104|Drosophila myosin heavy chain gene
P09335619A0583|243 252|orf221 gene
P09335619A0583|28 28|R
P09337861T0000|44 51|C2 domain
P09339900A0939|117 120|PEA3
P09339900A0939|126 129|NF-Y
P09339900A0939|60 67|cyclin D2
P09339900A0939|140 142|Sp1
P09339900A0939|197 204|cyclin D2
P09339900A0939|131 135|c-Myc
P09339900A0939|122 124|AP2
P09341139A0690|127 140|beta-arrestin 1
P09341158A0167|99 117|beta1 and beta2 chains
P09341192T0000|65 78|tyrosine kinase
P09341193A0362|16 18|Sp1
P09341193A0362|34 38|Egr-1
P09341193A0362|103 105|Tax
P09343210A1112|125 127|Tax
P09343210A1112|260 262|Tax
P09343222A0415|71 82|human protein
P09343398A1193|57 63|pcna-79
P09343426A0456|95 104|D-A complex
P09343433A0000|46 60|RNA polymerase II
P09343433A0360|86 89|ADE2
P09344650A0967|70 77|Casr-rs1
P09345037A0886|60 65|GATA-1
P09345037A0886|41 65|nuclear trans-factor GATA-1
P09346925A0660|15 18|Grb2
P09346925A0660|126 129|Grb2
P09346935A0459|150 164|RNA polymerase II
P09346935A0927|162 174|RNA polymerase
P09346935A0927|250 277|KRAB multifinger protein family
P09346938A1680|97 106|cathepsin B
P09348226A0852|93 98|Crk-II
P09348226A0852|24 30|insulin
P09349501A0196|98 106|MLL-LTG19
P09351823A0414|17 20|MAPK
P09352127A0953|27 40|serum myoglobin
P09353247A0922|104 106|CDK
P09353304A0732|58 62|Tiam1
P09353343A0919|109 122|nuclear hnRNP A1
P09353343A0919|0 14|RNA polymerase II
P09354644A0124|105 107|Gal
P09354676A1714|118 126|FGFR3 gene
P09354684A1158|24 30|Sp1 site
P09358045A0000|33 61|transforming growth factor-beta
P09358069T0000|62 64|EPO
P09360422A0135|82 95|thrombomodulin
P09360953A1057|145 157|PTH-1 receptor
P09360956A0840|108 112|c-Raf
P09360993T0000|60 74|serine proteases
P09362473A1540|200 219|early-acting enhancer
P09362480A0452|95 104|C-terminus
P09364211A0319|41 43|E2F
P09364440A2206|43 57|FSH receptor gene
P09364750T0000|35 39|SUP45
P09366517A0835|128 130|WT1
P09366517A0835|0 2|PKA
P09366517A0835|17 19|WT1
P09366517A1828|51 53|WT1
P09367392A0567|67 70|RNA3
P09367392A0567|128 131|RNA3
P09368006A1332|32 40|NF-kappaB
P09368014A0740|3 17|lysozyme FEF site
P09368057A1083|41 43|SRF
P09368057A1083|152 154|SRF
P09368058A0969|58 61|Cdc2
P09368058A0969|150 152|CAK
P09368058A0969|11 13|CAK
P09368190A1053|120 128|IFN-gamma
P09368190A1053|190 198|IFN-gamma
P09368419A0000|56 59|rd22
P09368419A0628|123 129|rd22BP1
P09368760A0665|26 55|Drosophila protein kinase DSTPK61
P09369450A1358|130 132|GRE
P09369450A1358|267 292|steroid receptor coactivator
P09369451A0693|183 186|OP-1
P09369453A0273|100 128|C-terminal transmembrane domain
P09370307A0093|142 167|MYB-like DNA binding proteins
P09371431A1172|83 100|thiCOGE gene cluster
P09371431T0000|60 87|symbiotic terminal oxidase cbb3
P09371566A1384|73 81|SR protein
P09371596T0000|90 115|nuclear receptor superfamily
P09372287A0296|128 136|C1 segment
P09372451T0000|92 111|integrin beta 1 subunit
P09372908A1068|139 153|Polycomb protein
P09372924A0758|173 175|XPC
P09372950A1283|131 140|human U2 RNA
P09372968A0532|101 133|outer-arm dynein light-chain protein
P09372968A0996|90 92|Myc
P09373140A0000|3 35|mouse M-lysozyme downstream enhancer
P09373155T0000|95 112|axonemal dynein gene
P09374541T0000|24 46|E2F recognition sequences
P09376626A0737|29 30|T4
P09380507A0514|36 38|GST
P09380507A0514|25 27|GST
P09380507A0514|30 32|E2F
P09380507A0514|108 137|DNA polymerase alpha gene promoter
P09380697T0000|62 73|caveolin gene
P09380707A0714|26 29|BCL6
P09381261A0970|28 30|EPO
P09382886A1061|76 78|p53
P09382886A1061|122 124|p53
P09382886A1061|116 118|SBM
P09382924A0131|237 241|PSMB7
P09382924A0131|69 77|IFN-gamma
P09383156A0691|91 96|PNPase
P09387999A1053|90 90|R
P09388198A1396|180 183|rhoB
P09388198A1396|119 122|rhoB
P09388198A1396|72 74|ERK
P09388199A0948|160 163|FadR
P09388199A0948|29 32|FadR
P09388199A0948|135 138|LexA
P09388200A0639|100 104|c-fos
P09388200A0639|74 77|MDM2
P09388246A0903|63 74|amphiphysin I
P09388271A1243|75 77|PKC
P09388271A1243|80 109|mitogen-activated protein kinase
P09389137A0763|46 47|L2
P09389982A1383|101 111|prothrombin
P09393706A1171|54 64|mar promoter
P09393771A1659|51 69|RNA-binding proteins
P09393771A1659|0 8|TNF-alpha
P09395525A0395|162 175|IGF-I promoter 1
P09396796A1173|122 124|E2F
P09397261A0940|0 12|Interleukin-1
P09398332A0732|184 189|CTLA-4
P09398332A0732|39 44|CTLA-4
P09398332A0732|79 84|CTLA-4
P09398855A0438|248 250|p53
P09400613A0594|223 225|PKR
P09400613A0594|286 289|lacZ
P09400613A0594|98 100|PKR
P09400613A1209|9 11|PKR
P09400613A1209|5 7|GST
P09402139A1121|208 214|IGFBP-1
P09402139A1121|101 107|insulin
P09405685A0113|50 52|p53
P09407026A0426|263 267|nuc-1
P09407026A0426|81 85|nuc-1
P09407031A0557|135 138|Cdc2
P09407031A0974|69 79|crb2 mutants
P09407036T0000|13 52|calcineurin-dependent transcription factor
P09407090T0000|52 56|CLA-1
P09407090T0000|29 37|human gene
P09409774A0214|90 98|VCSA1 gene
P09409774A0214|148 156|VCSB1 gene
P09409821T0000|70 73|umuC
P09414074A0827|180 182|SSP
P09414287A0637|28 42|Sp1 binding sites
P09414319A1442|36 41|Surf-1
P09415711A1348|140 156|CRE binding protein
P09417082A0127|40 56|urokinase receptor
P09417108A0000|16 21|RanBP1
P09417493A0823|88 104|C-reactive protein
P09417870A0105|39 52|protein kinase C
P09418861A0623|67 80|protein kinase C
P09418871A0620|27 30|E2F1
P09418882A0760|92 98|U1 snRNA
P09418905A1396|36 39|Grb2
P09418905A1396|61 63|Ras
P09418905A1396|186 188|PKC
P09419421A0385|46 49|TKC1
P09419421A0385|41 43|CBF
P09419421A0385|36 39|NF-Y
P09420234A0654|87 105|chaperonin-60 family
P09420275A1111|60 72|CD23 promoters
P09421507A0000|3 17|SR protein family
P09421508A0696|82 85|MafG
P09421511A0827|86 112|telomerase RNA-gene promoters
P09421521T0000|101 104|YDC2
P09422727A0196|143 159|CRE binding protein
P09422727A0196|161 164|CREB
P09422727A0196|201 205|ATF-2
P09425036A0649|61 63|Lck
P09426068A0826|3 7|c-myc
P09426068A0826|166 170|c-myc
P09426143A1358|203 215|RNA polymerase
P09426183A0000|17 25|NF-kappaB
P09426595T0000|32 56|saccharopine dehydrogenase
P09427627A0802|105 110|FK1012
P09427627A0930|114 122|MAP kinase
P09427627T0000|33 44|PDGF receptor
P09427627T0000|23 29|insulin
P09427844A0739|147 150|dCyd
P09428389A1805|94 97|LHRH
P09430661A0796|101 103|JNK
P09430668A0172a|98 103|SREBPs
P09431812A0576|34 36|Ptc
P09434185A0902|17 25|SPP1 genes
P09435056A0128|202 204|MBP
P09436989A1011|65 68|MOB1
P09438427T0000|87 95|Hoxa1 gene
P09441746A0546|56 60|GPR39
P09442024A0708|144 156|Jacalin lectin
P09442031A0586|93 133|C-terminal truncated TSHR ectodomain variants
P09442072A0716|7 12|DNase I
P09442072A0716|161 174|murine fVII gene
P09442080A0856|48 52|SHP-1
P09442080A0856|102 106|SHP-1
P09442080A0856|113 136|glutathione S-transferase
P09443972A1145|102 116|endogenous genes
P09443973A1028|0 3|CES4
P09443978A0262|62 64|Sp1
P09444316A0388|68 69|F0
P09445056A0215|120 131|gp41 oligomer
P09446600A0260|24 41|beta-galactosidase
P09446616A0780|16 20|Raf-1
P09447963A0223|79 86|SR family
P09447973A0168|69 75|MyrSos1
P09447979A1430|72 102|guanine nucleotide exchange factor
P09447994A0000|60 64|c-fos
P09447994A0000|161 165|c-fos
P09447994A0000|138 141|CREs
P09451016A1037|175 188|endogenous gene
P09452444A0000|0 12|Interleukin-6
P09453537A0863|102 104|SP1
P09453689A0000|94 96|BCR
P09454735A1782|11 13|MEK
P09454735A1782|64 72|MAP kinase
P09456312A1064|37 43|RanGAP1
P09461594A0000|157 166|PLC-gamma2
P09461594A0000|100 113|tyrosine kinase
P09463380A1050|76 80|Smad1
P09465783A0449|43 50|collagen
P09466267A1192|86 89|lacZ
P09466267A1192|32 34|IHF
P09467044A0973|56 59|PALP
P09467707T0000|64 79|apolipoproteins B
P09467955A0468|97 100|PEA3
P09468386A0594|27 30|PEA3
P09468515A0621|137 140|SF-1
P09472616A1004|55 57|VP7
P09473040A1303a|9 16|alcR gene
P09473040A1303b|9 16|alcR gene
P09474648A0298|63 65|Paf
P09475724T0000|0 3|TOR2
P09478921A0126|13 16|p210
P09478976T0000|21 25|c-Fos
P09482902A0423|134 136|p15
P09482902A0942|345 354|Pctr1 locus
P09482902A0942|130 137|cyclin D2
P09482902A0942|161 181|retinoblastoma protein
P09484463T0000|38 58|auxin-binding proteins
P09484781A1233|94 96|Akt
P09486531A0638|20 24|HFH-8
P09487130A0383|69 72|Cdc2
P09488441A0615|238 242|Bcl-3
P09488441A0615|202 204|Sp1
P09488441A0615|122 124|Sp1
P09488441A0615|0 2|Sp1
P09488486A0000|26 28|TBP
P09488486A0906|116 120|Pol II
P09488486A0906|14 16|TBP
P09488491A0000|0 2|E2F
P09488491A0000|55 77|tumor suppressor proteins
P09490676A0800|164 185|Myb- or Ets-binding sites
P09495771A0379|97 100|FtsK
P09498553T0000|82 98|P450 monooxygenase
P09498553T0000|54 57|P450
P09501093A0071|72 74|Ras
P09501093A0071|112 114|Ras
P09501169A0000|76 107|histone acetylases and deacetylases
P09501982A1178|357 363|XNeuroD
P09502720T0000|102 110|CyIIa gene
P09504423A0114|287 294|thrombin
P09504423A0114|160 162|GST
P09506959T0000|89 91|Max
P09506959T0000|85 87|Myc
P09506959T0000|93 95|Mad
P09506962A1000|101 103|YY1
P09507032A1144|70 74|CSF-1
P09508775A0293|60 89|mitogen-activated protein kinase
P09510925A0389|30 31|Hb
P09511724A0483|32 41|Dsg protein
P09512550T0000|0 2|E1A
P09512550T0000|64 66|pRb
P09512550T0000|71 73|CBP
P09512559T0000|38 54|nerve growth factor
P09512559T0000|56 77|luciferase reporter gene
P09514156A1147|13 18|DNase I
P09514159A0562|54 57|Ptx1
P09514272A0482|100 102|P16
P09515031A1020|47 51|c-fos
P09515031A1020|79 92|SRF binding site
P09515031A1020|66 68|PKC
P09515031A1020|79 81|SRF
P09515032A1230|19 25|p21 mRNA
P09515924A0104|31 40|PDH complex
P09516472A0292|87 97|Id4 promoter
P09517989A0476|64 66|CD4
P09519757A0482|134 137|SUR1
P09519828A0809|118 119|E2
P09519828A0809|9 12|VP16
P09521907A0190|31 44|murine Otx genes
P09521909A0081|0 18|APETALA3 transcripts
P09521913A0400|55 76|TGF-beta-related factor
P09523478A0572|11 13|IgM
P09523551A0367|65 89|G protein-coupled receptors
P09524122A0336|65 72|RAS genes
P09524222A0769|320 342|calmodulin binding domain
P09524222A0769|205 209|actin
P09524222A0769|241 254|protein kinase C
P09524229A0000|197 201|lac-1
P09524229A0000|7 11|lac-1
P09524250A0767|40 42|AP1
P09524259A0301|129 143|insulin receptor
P09524276A0939|97 100|OxyR
P09524276A0939|71 78|catalase
P09528758T0000|133 137|Rox-1
P09528766A0915|27 29|ERK
P09528766A0915|44 56|MAPKAP kinase 2
P09528766A0915|40 42|p38
P09528766A0915|95 98|CREB
P09528766A0915|84 86|NGF
P09528768A0000|122 149|ER-resident chaperone proteins
P09528768A0000|73 74|ER
P09528770A1379|39 42|cAPK
P09528784A0000|3 11|mei4+ gene
P09528950A0716|41 62|luciferase reporter gene
P09529156A1238|44 59|PKC consensus site
P09531538A0983|69 83|dU2AF38 RS domain
P09531549A0658|26 28|GST
P09531549A0658|142 146|actin
P09531559A1153|132 135|ZO-2
P09531559A1153|94 110|cytoplasmic domain
P09535082A0537|158 161|PrfA
P09535082A0537|14 16|Paf
P09535082A0537|115 118|PrfA
P09535082A0537|210 212|Paf
P09535082A0537|205 208|PrfA
P09535833A0228|31 36|m-Staf
P09535835A0279|60 64|Cdc42
P09535851A0591|92 103|gamma isoform
P09536028A0945|121 122|TF
P09537375A0198|133 136|gntT
P09537378A1227|62 65|lacZ
P09537651A0366|13 16|PEA3
P09537651A0366|60 64|v-src
P09538258A0200|48 50|Ras
P09539421A0970|5 15|Sir proteins
P09539721A0599|54 66|RNA polymerase
P09539721A0599|88 97|pR promoter
P09539721A0599|41 51|beta subunit
P09539779A0621|142 145|All1
P09540062A0755|160 162|CAT
P09541280A0404|15 17|IgE
P09541280A0404|91 93|IgE
P09541636T0000|0 13|Creatine kinase
P09544987A1583|57 60|NCoR
P09544991A0483|31 58|cytosolic tyrosine phosphatase
P09545312A1197|70 72|SRF
P09545312A1197|38 48|HMG-I family
P09545332A0137|137 140|IL-4
P09545353A1071|170 178|TNF-alpha
P09545353A1071|138 151|E-selectin gene
P09545638A0330a|58 61|HMT1
P09545638A0330b|58 61|HMT1
P09545638A0836|0 24|Recombinant HRMT1L2 protein
P09545638A1181|28 34|HRMT1L2
P09545638T0000|88 94|HRMT1L2
P09546424A1550|60 70|Crk proteins
P09547311A1394|55 64|E-cadherin
P09547311A1394|222 231|E-cadherin
P09547311A1394|222 251|E-cadherin extracellular domains
P09547311A1394|91 100|E-cadherin
P09551096A0108|39 55|ribosomal subunits
P09551938A0318|79 94|CCR5 gene promoter
P09553040A0651|104 108|Stats
P09553040A0651|99 101|Ras
P09553134A0596|55 68|tyrosine kinase
P09553134A0596|93 95|PP1
P09553143A0729|8 13|ZAP-70
P09556566A0174|26 28|VDR
P09556861A1018|176 190|tRNA-synthetase
P09557708A1426|11 15|actin
P09560221A0282|41 43|CAK
P09560390A0771|55 59|sum1+
P09561560A0579|135 153|HIV-Nef recombinants
P09564860A2315|205 213|Gs protein
P09565606A0520|95 118|repZ ribosome-binding site
P09566871A0343|186 192|Ty1 cDNA
P09566871T0000|52 85|mitogen-activated protein kinase Fus3
P09566876A0000|74 76|TBP
P09566882A0693|31 34|Pho2
P09566882A0693|94 97|Pho2
P09570952A0000|39 48|murine gene
P09572491A1044|68 70|p53
P09572511A0148|22 28|RBI-MAP
P09573202A0900|40 51|alpha subunit
P09573202A0900|131 146|N-terminal domain
P09573374A0687|148 155|IRF1 gene
P09575143A1189|17 22|ZAP-70
P09575143A1189|184 186|TCR
P09575187A1558|103 111|sAPPalpha
P09575187A1558|16 24|NF-kappaB
P09575217A0000|109 113|Stats
P09575217A0971|98 106|C terminus
P09575217A0971|32 36|Stat5
P09575217A0971|112 116|Stat5
P09575217A0971|37 39|SH2
P09576230T0000|11 29|nitric oxide synthase
P09579602A1720|63 66|CD34
P09580563A0331|50 76|cytoplasmic dynein heavy chain
P09580700A0841|145 150|DNase I
P09581775A0185|58 66|NF-kappaB
P09581834A2578|185 189|CDKIs
P09581872A0000|45 57|type I collagen
P09582331A0506|86 91|GATA-1
P09582331A0506|93 95|SP1
P09582350A0165|96 130|branched-chain ketoacid dehydrogenase
P09582953A1097|45 54|fibrinogen
P09583208A0171|47 58|serum albumin
P09583208A0171|60 73|immunoglobulin
P09584165T0000|50 60|beta subunit
P09584165T0000|63 71|G proteins
P09584179A0673|47 70|transcription factor Adf-1
P09584180A0701|86 102|NF-kappaB proteins
P09584180A0701|105 108|IL-4
P09584194A0000|10 12|Cas
P09584194A0000|5 8|p130
P09584194A1305|161 164|HEF1
P09584194A1305|93 94|G2
P09584194A1305|182 185|HEF1
P09584194A1305|178 180|p55
P09584194A1305|59 62|HEF1
P09585253A1147|63 64|TF
P09585253A1147|36 38|ERK
P09585253A1147|159 160|TF
P09587549T0001|37 51|interferon alpha
P09588228A0370|22 46|anticytokeratin 19 antibody
P09590540A0513|57 80|N-terminal signal sequence
P09592168T0000|58 96|human nucleotide excision repair protein XPA
P09595496A0000|30 41|endothelin-1
P09595496A0000|43 46|ET-1
P09596542A0542|49 56|collagen
P09599102A1191|112 115|CUP1
P09599664A0881|72 78|RXR beta
P09599897A0000|229 231|PLT
P09599897A0000|191 207|C-reactive protein
P09601510A0215|38 47|FV pol genes
P09601516A0695|96 103|S protein
P09601940A0280|112 117|NF-IL6
P09605137A0677|20 24|c-Jun
P09606633A0523|0 13|Interferon beta
P09609705A0895|16 38|mitochondrial bc1 complex
P09611229A1664|90 108|transcription factor
P09611234A0098|28 30|Mad
P09611234A0098|77 80|BCL6
P09611877A0455|23 25|CSF
P09613574A0905|11 28|recombinant protein
P09613574A0905|121 131|MGMT protein
P09614065A0966|123 130|AP-1 site
P09614065A0966|115 130|upstream AP-1 site
P09617807A0929|175 192|Gypsy-like elements
P09618150A0127|61 67|insulin
P09618150A0127|160 167|UCP1 mRNA
P09618150A1464|11 17|insulin
P09618150A1464|94 98|MEK-1
P09618150A1464|25 28|AP-1
P09618475A0747|94 97|Nrd1
P09618481T0000|92 108|Smad family members
P09618481T0000|86 88|Sp1
P09618481T0000|20 22|p21
P09620273A0189|111 133|E2F transcription factors
P09620273A0189|13 21|Rb protein
P09620606A0000|45 47|TCR
P09620873A1710|134 149|PKC family members
P09621062A0810|140 171|chloramphenicol acetyltransferase
P09622055A0207|84 88|Sli-1
P09622121A0525|86 88|PTB
P09622121A0525|43 45|PTB
P09622121T0000|57 59|PTB
P09625762A0426|62 65|p300
P09625762A0426|19 21|E1A
P09626662A1076|105 106|TR
P09627285A0554|115 117|hMG
P09628821A1194|51 60|human genes
P09628890A0455|91 98|HA trimer
P09629449A0540|90 100|PMN elastase
P09630245A0102|0 11|Yeast U1 snRNP
P09630245A0903|140 168|yeast-specific U1 snRNP proteins
P09630245A0903|0 11|Yeast U1 snRNP
P09632709A0464|81 116|Drosophila melanogaster nuclear protein
P09632734A0081|137 159|small GTP binding proteins
P09632734A0081|34 49|C-terminal region
